09-15 13:41:24.025 I/VClientImpl( 5929): Binding application net.tym.tcmmy, (net.tym.tcmmy)
09-15 13:41:24.053 I/VClientImpl( 5929): Xposed is enabled.
09-15 13:41:24.594 I/ExposedBridge( 5929): net.tym.tcmmy is not a Xposed module, do not init epic.force
09-15 13:41:24.595 I/ExposedBridge( 5929): module:/data/user/0/io.va.exposed/virtual/data/app/de.robv.android.xposed.installer/base.apk is disabled, ignore
09-15 13:41:24.595 I/ExposedBridge( 5929): module:/data/user/0/io.va.exposed/virtual/data/app/com.demon.mactest/base.apk is disabled, ignore
09-15 13:41:24.596 I/ExposedBridge( 5929): Loading modules from /data/user/0/io.va.exposed/virtual/data/app/com.demon.xposed_hook/base.apk for process: net.tym.tcmmy i s c: false
09-15 13:41:24.599 I/ExposedBridge( 5929):   Loading class com.demon.xposed_hook.XposedHook
09-15 13:41:24.604 I/Runtime ( 5929): is64Bit: false, isArt: true
09-15 13:41:24.604 I/EpicNative( 5929): use unsafe ? false
09-15 13:41:24.611 I/ExposedBridge( 5929): module:/data/user/0/io.va.exposed/virtual/data/app/net.tym.tcmmy/base.apk is disabled, ignore
09-15 13:41:24.626 I/Xposed  ( 5929): getRunningAppProcesses获取了进程
09-15 13:41:24.630 I/Xposed  ( 5929): dalvik.system.VMStack.getThreadStackTrace(Native Method)
09-15 13:41:24.630 I/Xposed  ( 5929): java.lang.Thread.getStackTrace(Thread.java:1720)
09-15 13:41:24.630 I/Xposed  ( 5929): com.demon.xposed_hook.XposedHook.getMethodStack(XposedHook.java:160)
09-15 13:41:24.630 I/Xposed  ( 5929): com.demon.xposed_hook.XposedHook.access$000(XposedHook.java:17)
09-15 13:41:24.630 I/Xposed  ( 5929): com.demon.xposed_hook.XposedHook$4.afterHookedMethod(XposedHook.java:94)
09-15 13:41:24.630 I/Xposed  ( 5929): de.robv.android.xposed.DexposedBridge.handleHookedArtMethod(DexposedBridge.java:265)
09-15 13:41:24.630 I/Xposed  ( 5929): me.weishu.epic.art.entry.Entry.onHookObject(Entry.java:69)
09-15 13:41:24.630 I/Xposed  ( 5929): me.weishu.epic.art.entry.Entry.referenceBridge(Entry.java:186)
09-15 13:41:24.630 I/Xposed  ( 5929): com.comm.lib.f.m.getCurProcessName(SourceFile:38)
09-15 13:41:24.630 I/Xposed  ( 5929): com.comm.lib.app.a.EQ(SourceFile:29)
09-15 13:41:24.630 I/Xposed  ( 5929): com.comm.lib.app.a.onCreate(SourceFile:21)
09-15 13:41:24.630 I/Xposed  ( 5929): com.vchat.tmyl.app.SApplication.onCreate(SourceFile:56)
09-15 13:41:24.630 I/Xposed  ( 5929): android.app.Instrumentation.callApplicationOnCreate(Instrumentation.java:1190)
09-15 13:41:24.630 I/Xposed  ( 5929): com.lody.virtual.client.hook.delegate.InstrumentationDelegate.callApplicationOnCreate(InstrumentationDelegate.java:225)
09-15 13:41:24.630 I/Xposed  ( 5929): com.lody.virtual.client.hook.delegate.AppInstrumentation.callApplicationOnCreate(AppInstrumentation.java:176)
09-15 13:41:24.630 I/Xposed  ( 5929): com.lody.virtual.client.VClientImpl.bindApplicationNoCheck(VClientImpl.java:365)
09-15 13:41:24.630 I/Xposed  ( 5929): com.lody.virtual.client.VClientImpl.bindApplication(VClientImpl.java:218)
09-15 13:41:24.630 I/Xposed  ( 5929): com.lody.virtual.client.VClientImpl.bindApplicationForActivity(VClientImpl.java:213)
09-15 13:41:24.630 I/Xposed  ( 5929): android.app.TransactionHandlerProxy.handleLaunchActivity(TransactionHandlerProxy.java:149)
09-15 13:41:24.630 I/Xposed  ( 5929): android.app.servertransaction.LaunchActivityItem.execute(LaunchActivityItem.java:83)
09-15 13:41:24.630 I/Xposed  ( 5929): android.app.servertransaction.TransactionExecutor.executeCallbacks(TransactionExecutor.java:135)
09-15 13:41:24.630 I/Xposed  ( 5929): android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:95)
